name;link;size;format;origem;type
Doom.3.BFG.Edition-GOG.7z;https://tinyurl.com/23mqp8mg;3.91 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Duke Nukem 3D Atomic Edition by GOG.7z;https://tinyurl.com/25ydyogu;58.71 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Duke Nukem Manhattan Project by GOG.7z;https://tinyurl.com/28pscp6z;188.34 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Earthworm Jim 1+2 [GOG].7z;https://tinyurl.com/22klnggo;647.28 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Enter The Matrix ElAmigos.7z;https://tinyurl.com/2bzjrraa;1.55 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Euro Truck Simulator 2 [Jogo].7z;https://tinyurl.com/2c9k2fhf;4.22 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Far Cry GOG.7z;https://tinyurl.com/23zh9oul;2.43 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Final DOOM-GOG.7z;https://tinyurl.com/228ljmd5;25.53 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Final Fantasy Pixel Remaster.7z;https://tinyurl.com/2xql4cvs;1.65 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Final Fantasy VII (U).7z;https://tinyurl.com/22yq826d;1.77 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
GTA III - Definitive Edition V1.04.7z;https://tinyurl.com/27pdudao;4.13 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
GTA San Andreas (PC 1.0 US Full Retail + crack + tradução).7z;https://archive.org/download/jogos_antigosdepc/GTA San Andreas (PC 1.0 US Full Retail + crack + tradução).7z;3.91 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
GTA San Andreas - Definitive Edition V 1.04.7z;https://tinyurl.com/22kn8zzy;17.81 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
GTA Vice City - Definitive Edition V 1.04.7z;https://tinyurl.com/2cqqgzj5;8.78 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Gex (GOG).7z;https://tinyurl.com/24qnvg6g;89.50 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Gun-GOG.7z;https://tinyurl.com/2arl584f;1.44 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Hitman 2 Silent Assassin.7z;https://tinyurl.com/28pyl42t;497.78 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Hitman 3 Contracts (April 20, 2004).7z;https://tinyurl.com/2bdgkmeq;850.78 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Hitman Blood Money.7z;https://tinyurl.com/29vg5dxg;3.97 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Hitman Codename 47.7z;https://tinyurl.com/24yx4emd;240.17 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
KILL la KILL IF (CODEX).7z;https://tinyurl.com/24enrm2u;3.38 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
LEGO Indiana Jones - The Original Adventures [GOG].7z;https://tinyurl.com/2529tgn6;3.33 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Legacy of Kain - Soul Reaver [GOG].7z;https://tinyurl.com/25gxjo3n;437.72 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Life.is.Strange.Remastered-CODEX.7z;https://tinyurl.com/2xohv6ko;21.52 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Lost Ruins 1.0.9a.7z;https://tinyurl.com/2cqcbngm;390.71 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
MDK 2 GOG.7z;https://tinyurl.com/24q9ql4x;558.28 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
MDK [GOG].7z;https://tinyurl.com/25rjzn4q;219.05 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
METAL GEAR SOLID - GOG.rar;https://tinyurl.com/22uzl496;4.65 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
METAL SLUG 2.7z;https://tinyurl.com/25woauyk;75.42 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
METAL SLUG 3.7z;https://tinyurl.com/2ykmvyon;75.87 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
METAL SLUG X.7z;https://tinyurl.com/2cxlhlwj;67.20 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
METAL SLUG.7z;https://tinyurl.com/2d5cfhk8;56.19 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Maui Mallard in Cold Shadow GOG.7z;https://tinyurl.com/247eb6qm;93.96 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Max Payne 1 (fix + tradução)(PC).7z;https://archive.org/download/jogos_antigosdepc/Max Payne 1 (fix + tradução)(PC).7z;873.75 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Medal Of Honor - Allied Assault War Chest (March 2, 2004).7z;https://tinyurl.com/2b9laxpe;2.68 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Medal of Honor - Pacific Assault [GOG].7z;https://tinyurl.com/2ahppmda;2.90 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Mega Man X4 (U).7z;https://tinyurl.com/25vty6tl;342.78 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Metal Gear Solid.7z;https://tinyurl.com/238nf87q;840.16 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Mortal Kombat 1-3.7z;https://tinyurl.com/2cr7ldll;100.57 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Mortal Kombat Trilogy (1.0) (58108)(GOG).7z;https://tinyurl.com/2ca2pcl8;224.73 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Moto Racer 1 [GOG].7z;https://tinyurl.com/2y9z3uq3;340.87 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Moto Racer 2 v2.1.0.9 [GOG].7z;https://tinyurl.com/22949jgv;463.69 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Need For Speed Carbon Remastered 1.5 final.7z;https://tinyurl.com/2cm2t6or;3.75 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Need for Speed Undergrond 2.7z;https://tinyurl.com/2aclxfgg;1.95 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Need for Speed Underground Definitive Edition Mods-Repack.7z;https://tinyurl.com/2xuzx3mh;1.02 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Need.for.Speed.Most.Wanted.Remastered.Edition-Repack.7z;https://tinyurl.com/29lkpr9b;2.94 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Ori and the Blind Forest Complete.rar;https://tinyurl.com/24m5l6lb;2.69 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Painkiller Black Edition [GOG].7z;https://tinyurl.com/286pkk47;3.73 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Quake 3 Gold [GOG].7z;https://tinyurl.com/2dk3pheu;877.76 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil (U).7z;https://tinyurl.com/2yszteck;412.17 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil 2 (U).7z;https://tinyurl.com/2bkve7x7;1.08 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil 3 - Nemesis (U).7z;https://tinyurl.com/2xzn6bs4;445.89 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil 4.7z;https://tinyurl.com/2xwdtj8l;2.52 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil 5 Gold Edition (PLAZA) PC.rar;https://tinyurl.com/292ukf86;7.55 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Resident Evil Revelations 2 Complete Season MULTi11-ElAmigos.7z;https://tinyurl.com/25bf9ezz;9.42 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Sega Rally Championship (U).7z;https://tinyurl.com/29qus3fb;426.18 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Sonic.Mania-CPY.7z;https://tinyurl.com/2bmmxka5;311.64 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Street Fighter Alpha - Warriors' Dreams (U).7z;https://tinyurl.com/25etf85e;335.42 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Street Fighter Alpha 2 (U).7z;https://tinyurl.com/29mlcjng;306.74 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Super Mario 64 - PC atualizado.rar;https://tinyurl.com/2922ap37;568.50 MiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Syberia II 2.0.0.8 [GOG].rar;https://tinyurl.com/28vl4vgb;1.25 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tactics Ogre Reborn FLT.rar;https://tinyurl.com/2575quqn;11.17 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
The.Ultimate.DOOM-GOG.rar;https://tinyurl.com/2blqnu56;19.34 MiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
ToCA Race Driver 3 GOG.rar;https://tinyurl.com/278yolzb;4.71 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider (Game of the Year Edition) [GOG].7z;https://tinyurl.com/24bxr2mo;16.56 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider - The Angel of Darkness (June 20, 2003).rar;https://tinyurl.com/29hgkcqm;1.48 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider 1+2+3 [GOG].7z;https://tinyurl.com/29e2ej6q;790.42 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider Anniversary [GOG].zip;https://tinyurl.com/2bnhaaf4;2.84 GiB;ZIP;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider Legend [GOG].rar;https://tinyurl.com/274kzrvf;4.84 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider Underworld [GOG].rar;https://tinyurl.com/248t2raa;6.77 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tunic GOG.7z;https://tinyurl.com/242xo73z;3.61 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Unreal PT 1.0.7.rar;https://tinyurl.com/27qg27q6;548.61 MiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Valkyrie Drive Bhikkhuni Complete Edition v1.05.7z;https://tinyurl.com/2yf9b2yj;2.21 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Wildfire 1.04.06(52109).7z;https://tinyurl.com/2bs7um9f;343.44 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
cuphead.7z;https://tinyurl.com/24j5k83v;1.97 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
iBLiS.7z;https://tinyurl.com/28tgdn3u;5.64 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
