name;link;size;format;origem;type
Resident Evil Revelations 2 Complete Season MULTi11-ElAmigos.7z;https://archive.org/download/jogos_antigosdepc/Resident Evil Revelations 2 Complete Season MULTi11-ElAmigos.7z;9.42 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Sega Rally Championship (U).7z;https://archive.org/download/jogos_antigosdepc/Sega Rally Championship (U).7z;426.18 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Sonic.Mania-CPY.7z;https://archive.org/download/jogos_antigosdepc/Sonic.Mania-CPY.7z;311.64 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Street Fighter Alpha - Warriors' Dreams (U).7z;https://archive.org/download/jogos_antigosdepc/Street Fighter Alpha - Warriors' Dreams (U).7z;335.42 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Street Fighter Alpha 2 (U).7z;https://archive.org/download/jogos_antigosdepc/Street Fighter Alpha 2 (U).7z;306.74 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Super Mario 64 - PC atualizado.rar;https://archive.org/download/jogos_antigosdepc/Super Mario 64 - PC atualizado.rar;568.50 MiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Syberia II 2.0.0.8 [GOG].rar;https://archive.org/download/jogos_antigosdepc/Syberia II 2.0.0.8 [GOG].rar;1.25 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tactics Ogre Reborn FLT.rar;https://archive.org/download/jogos_antigosdepc/Tactics Ogre Reborn FLT.rar;11.17 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
The.Ultimate.DOOM-GOG.rar;https://archive.org/download/jogos_antigosdepc/The.Ultimate.DOOM-GOG.rar;19.34 MiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
ToCA Race Driver 3 GOG.rar;https://archive.org/download/jogos_antigosdepc/ToCA Race Driver 3 GOG.rar;4.71 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider (Game of the Year Edition) [GOG].7z;https://archive.org/download/jogos_antigosdepc/Tomb Raider (Game of the Year Edition) [GOG].7z;16.56 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider - The Angel of Darkness (June 20, 2003).rar;https://archive.org/download/jogos_antigosdepc/Tomb Raider - The Angel of Darkness (June 20, 2003).rar;1.48 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider 1+2+3 [GOG].7z;https://archive.org/download/jogos_antigosdepc/Tomb Raider 1+2+3 [GOG].7z;790.42 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider Anniversary [GOG].zip;https://archive.org/download/jogos_antigosdepc/Tomb Raider Anniversary [GOG].zip;2.84 GiB;ZIP;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider Legend [GOG].rar;https://archive.org/download/jogos_antigosdepc/Tomb Raider Legend [GOG].rar;4.84 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tomb Raider Underworld [GOG].rar;https://archive.org/download/jogos_antigosdepc/Tomb Raider Underworld [GOG].rar;6.77 GiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Tunic GOG.7z;https://archive.org/download/jogos_antigosdepc/Tunic GOG.7z;3.61 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Unreal PT 1.0.7.rar;https://archive.org/download/jogos_antigosdepc/Unreal PT 1.0.7.rar;548.61 MiB;RAR;https://archive.org/download/jogos_antigosdepc;7z
Valkyrie Drive Bhikkhuni Complete Edition v1.05.7z;https://archive.org/download/jogos_antigosdepc/Valkyrie Drive Bhikkhuni Complete Edition v1.05.7z;2.21 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
Wildfire 1.04.06(52109).7z;https://archive.org/download/jogos_antigosdepc/Wildfire 1.04.06(52109).7z;343.44 MiB;7z;https://archive.org/download/jogos_antigosdepc;7z
cuphead.7z;https://archive.org/download/jogos_antigosdepc/cuphead.7z;1.97 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
iBLiS.7z;https://archive.org/download/jogos_antigosdepc/iBLiS.7z;5.64 GiB;7z;https://archive.org/download/jogos_antigosdepc;7z
